1596889178.025031828 [7.418839,85.832199,1.000000,11.117105]	 [8.792265,84.959053,1.000000,11.732224]	 [10.881010,85.624580,1.000000,9.464585]	 [8.536004,88.097382,1.000000,8.478972]	
1596889179.049726134 [15.558418,78.083061,1.419799,15.577952]	 [15.657751,79.709412,1.000000,14.496593]	 [17.873056,80.347084,1.000000,11.123793]	 [17.239460,86.313446,1.000000,7.788632]	
1596889180.074197828 [8.685651,91.534027,1.000000,4.925851]	 [7.092906,87.489456,1.000000,9.590481]	 [16.206360,83.944107,1.000000,5.747807]	 [6.377123,89.619568,1.000000,7.616997]	
1596889181.098135180 [8.922020,89.703133,1.000000,7.123941]	 [12.368773,91.772598,1.000000,4.199604]	 [6.975643,91.489502,1.000000,5.801992]	 [9.539124,91.319878,1.000000,5.078229]	
1596889182.122171356 [6.400774,88.644150,1.000000,8.730918]	 [6.961552,89.811066,1.000000,7.375758]	 [8.565925,90.631561,1.000000,6.230560]	 [11.553596,92.494476,1.000000,3.413000]	
1596889183.146740980 [8.236538,91.596527,1.000000,5.319491]	 [7.806591,86.157242,1.000000,10.761863]	 [12.822732,85.206032,1.000000,10.415353]	 [11.929745,91.124886,1.000000,4.766554]	
1596889184.171002841 [7.209759,90.703239,1.000000,6.170444]	 [9.176789,87.477020,1.000000,8.532919]	 [11.272654,84.695030,1.000000,10.424070]	 [12.200150,88.560867,1.000000,6.647366]	
1596889185.194391945 [7.532928,90.525223,1.000000,6.418237]	 [7.329517,88.079323,1.000000,8.888399]	 [13.769596,84.415268,1.000000,7.849257]	 [8.933763,91.035896,1.000000,5.078813]	
1596889186.217103806 [8.330161,90.662476,1.000000,5.627154]	 [13.947364,87.146736,1.000000,7.755631]	 [6.612581,89.350815,1.000000,7.169941]	 [20.672840,77.934364,1.000000,5.870104]	
1596889187.239472109 [7.718654,91.736519,1.000000,5.292374]	 [7.610412,89.365761,1.000000,7.558826]	 [9.478434,88.424866,1.000000,8.190224]	 [7.733668,92.141479,1.000000,4.077313]	
